,bali,bali blackhat,blackhat,cowok,cowok tersak,cowok tersak team,hack,hack tn,hack tn mdk,https,https toptop,https toptop io,io,jpg,mdk,mr,team,team cowok,team cowok tersak,tersak,tersak team,tmen,tmen team,tmen team cowok,tn,tn mdk,toptop,toptop io,websit,Target,__ __,__ __ __,__ career,__ event,academ calendar,access,action,air,anniversari,announc,appli,applic,area,ariia,assist,author,better,black,blog,bring,calendar,campus,center,centr,central,challeng,chang,com,com tr,com tr id,communiti,comput,conduct,connect,continu,convoc,copyright,could,current student,depart,design,detail,determin,disclosur,discov,dual,educ research,effect,emerg,employ,enhanc,entri,environment,ev,ev pageview,ev pageview noscript,event __,execut,facebook com,facebook com tr,faculti career,fellowship,fit,form,fund,galleri,glanc,gov,govern,group,help,here,histori,honour,https www facebook,id,id ev,id ev pageview,imag,improv,in,initi,institut technolog,institute,interest,its,job,largest,lead,librari,life,light,like,linkedin,locat,logo svg,ma,machin,main,main content,make,march,materi,menu search,must,next,nirf,noscript,notic,of,offer,organis,origin,pageview,pageview noscript,pandem,pg,ph,photo,photo galleri,placement,plan,pleas,portal,privaci access,privaci polici,procur,programm,project,prospect,prospect student,quick,recent,research institute,resourc,say,scienc,scienc technolog,scroll,secur,skip main,skip main content,social,social media,state,student current,student current student,support,svg,svg home,system,tender,th convoc,time,to,top,tr,tr id,tr id ev,univers,updat,us student,virtual,visit,way,whi,white,world,www facebook,www facebook com,year
0,0.0,0.0,0.0,0.0,0.0,0.0,0.47172450223651036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6234885700595146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6234885700595146,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.47172450223651036,0.0,0.0,0.0,0.0,0.0,0.0,0.6234885700595146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6234885700595146,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,0.3779644730092272,0.3779644730092272,0.3779644730092272,0.3779644730092272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,0.3779644730092272,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.09415348174624141,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.0,0.12444471173697103,0.7466682704218262,0.24888942347394205,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.12444471173697103,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.21048001904174019,0.21048001904174019,0.21048001904174019,0.21048001904174019,0.21048001904174019,0.21048001904174019,0.15924683623906463,0.21048001904174019,0.21048001904174019,0.0,0.0,0.0,0.0,0.0,0.21048001904174019,0.0,0.42096003808348037,0.21048001904174019,0.21048001904174019,0.21048001904174019,0.21048001904174019,0.21048001904174019,0.21048001904174019,0.21048001904174019,0.21048001904174019,0.21048001904174019,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7281928433801464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050220196095182516,0,0.0,0.0,0.0,0.0,0.12555049023795628,0.0,0.0,0.025110098047591258,0.025110098047591258,0.10044039219036503,0.0,0.1757706863331388,0.025110098047591258,0.025110098047591258,0.0,0.0,0.10044039219036503,0.0,0.0,0.025110098047591258,0.25110098047591256,0.07533029414277377,0.0,0.10044039219036503,0.025110098047591258,0.0,0.050220196095182516,0.0,0.0,0.0,0.0,0.050220196095182516,0.0,0.0,0.050220196095182516,0.025110098047591258,0.0,0.025110098047591258,0.07533029414277377,0.050220196095182516,0.050220196095182516,0.050220196095182516,0.050220196095182516,0.0,0.0,0.15066058828554754,0.025110098047591258,0.050220196095182516,0.050220196095182516,0.0,0.025110098047591258,0.0,0.050220196095182516,0.0,0.0,0.0,0.0,0.050220196095182516,0.0,0.0,0.050220196095182516,0.025110098047591258,0.025110098047591258,0.07533029414277377,0.07533029414277377,0.07533029414277377,0.0,0.025110098047591258,0.0,0.025110098047591258,0.050220196095182516,0.0,0.050220196095182516,0.050220196095182516,0.0,0.0,0.0,0.0,0.0,0.07533029414277377,0.025110098047591258,0.025110098047591258,0.12555049023795628,0.025110098047591258,0.0,0.050220196095182516,0.10044039219036503,0.025110098047591258,0.12555049023795628,0.07533029414277377,0.0,0.025110098047591258,0.0,0.050220196095182516,0.0,0.0,0.0,0.025110098047591258,0.050220196095182516,0.025110098047591258,0.050220196095182516,0.0,0.025110098047591258,0.0,0.0,0.050220196095182516,0.025110098047591258,0.0,0.050220196095182516,0.0,0.0,0.0,0.050220196095182516,0.0,0.0,0.0,0.050220196095182516,0.10044039219036503,0.10044039219036503,0.07533029414277377,0.050220196095182516,0.025110098047591258,0.050220196095182516,0.025110098047591258,0.0,0.0,0.0,0.10044039219036503,0.0,0.22599088242832133,0.07533029414277377,0.025110098047591258,0.0,0.025110098047591258,0.07533029414277377,0.050220196095182516,0.0,0.0,0.025110098047591258,0.07533029414277377,0.025110098047591258,0.025110098047591258,0.0,0.0,0.0,0.025110098047591258,0.025110098047591258,0.025110098047591258,0.0,0.0,0.025110098047591258,0.050220196095182516,0.025110098047591258,0.12555049023795628,0.025110098047591258,0.0,0.0,0.0,0.0,0.025110098047591258,0.025110098047591258,0.050220196095182516,0.025110098047591258,0.0,0.0,0.050220196095182516,0.0,0.07533029414277377,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5449492609130662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.07784989441615231,0.07784989441615231,0.0,0.0,0.0,0.07784989441615231,0.0,0.0,0.0,0.0,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.0,0.0,0.0,0.23354968324845693,0.15569978883230462,0.0,0.0,0.07784989441615231,0.0,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07784989441615231,0.0,0.0,0.07784989441615231,0.07784989441615231,0.0,0.07784989441615231,0.0,0.15569978883230462,0.0,0.0,0.07784989441615231,0.0,0.0,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.0,0.0,0.07784989441615231,0.07784989441615231,0.0,0.0,0.0,0.07784989441615231,0.0,0.0,0.0,0.0,0.0,0.0,0.07784989441615231,0.0,0.0,0.0,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.0,0.15569978883230462,0.0,0.23354968324845693,0.07784989441615231,0.07784989441615231,0.0,0.0,0.0,0.0,0.0,0.23354968324845693,0.0,0.07784989441615231,0.0,0.07784989441615231,0.0,0.07784989441615231,0.07784989441615231,0.0,0.0,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.0,0.0,0.07784989441615231,0.0,0.0,0.07784989441615231,0.0,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07784989441615231,0.0,0.0,0.0,0.0,0.07784989441615231,0.07784989441615231,0.0,0.07784989441615231,0.07784989441615231,0.15569978883230462,0.07784989441615231,0.0,0.0,0.0,0.0,0.0,0.0,0.07784989441615231,0.07784989441615231,0.0,0.07784989441615231,0.07784989441615231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.0,0.0,0.0,0.07784989441615231,0.07784989441615231,0.07784989441615231,0.0,0.15569978883230462,0.07784989441615231,0.07784989441615231,0.15569978883230462
